Id,Label,sex,insttype,country,degree,betweenness,closeness,eigenvector,coreness,freq,polygon
BacharaW,BacharaW,Male,Other,Poland,9,0.006939,0.006179,0.065222,3,3,2
GilkesMW,GilkesMW,Other,Other,Other,3,0,0.006178,0.028667,3,,3
IbarraPortilloR,IbarraPortilloR,Other,Other,Other,3,0,0.00615,0.00235,3,,3
MartínezDeNavasE,MartínezDeNavasE,Other,Other,Other,3,0,0.00615,0.00235,3,,3
MignucciGiannoniA,MignucciGiannoniA,Male,University,Puerto Rico,5,0.004464,0.006178,0.028732,3,,2
PinedaL,PinedaL,Other,Other,Other,3,0,0.00615,0.00235,3,,3
SchwarzN,SchwarzN,Other,Other,Other,3,0,0.006168,0.038447,3,,3
BakerA,BakerA,Other,Other,Other,9,0,0.006185,0.105819,9,,3
GedamkeJ,GedamkeJ,Other,Other,Other,9,0,0.006185,0.105819,9,,3
IñíguezM,IñíguezM,Male,NGO,Argentina,26,0.026895,0.006194,0.216844,12,4,2
SecchiE,SecchiE,Male,University,Brazil,61,0.046885,0.006202,0.606824,16,20,2
SutariaD,SutariaD,Other,Other,Other,9,0,0.006185,0.105819,9,,3
vanHeldenA,vanHeldenA,Other,Other,Other,9,0,0.006185,0.105819,9,,3
WangY,WangY,Other,Other,Other,9,0,0.006185,0.105819,9,,3
BakerC,BakerC,Other,Other,Other,11,0,0.006183,0.116503,11,,3
BeltránPedrerosS,BeltránPedrerosS,Other,Other,Other,15,0.000483,0.006184,0.12513,11,3,3
HeimeierD,HeimeierD,Other,Other,Other,11,0,0.006183,0.116503,11,,3
MarmontelM,MarmontelM,Female,NGO,Brazil,40,0.051901,0.006195,0.230454,11,18,1
SantosF,SantosF,Other,Other,Other,11,0,0.006183,0.116503,11,,3
ViannaJ,ViannaJ,Other,Other,Other,11,0,0.006183,0.116503,11,,3
BarachoC,BarachoC,Other,Other,Other,17,0,0.006191,0.290219,17,,3
BarretoAS,BarretoAS,Male,University,Brazil,22,0.002817,0.006191,0.295634,17,3,2
BottaS,BottaS,Female,University,Brazil,19,0.000269,0.006192,0.316016,17,,1
DallaRosaL,DallaRosaL,Other,Other,Other,29,0.004629,0.006194,0.38117,17,5,3
MarchesiMC,MarchesiMC,Other,Other,Other,27,0.003558,0.006195,0.341681,17,,3
VermeulenE,VermeulenE,Female,University,South Africa,31,0.008572,0.006196,0.362838,17,5,1
WickertJ,WickertJ,Other,Other,Other,17,0,0.006191,0.290219,17,,3
NettoR,NettoR,Male,NGO,Brazil,1,0,0.006156,0.006404,1,,2
BarcellosJ,BarcellosJ,Other,Other,Other,2,0,0.006159,0.006711,2,,3
OliveiraG,OliveiraG,Male,University,Brazil,2,0,0.006159,0.006711,2,,2
BarcellosL,BarcellosL,Other,Other,Other,3,0,0.006177,0.041083,3,,3
BarnicoatS,BarnicoatS,Other,Other,Other,14,0,0.006152,0.00611,14,,3
BordinA,BordinA,Female,NGO,French Guia,27,0.013919,0.00618,0.039838,14,3,1
DeffesO,DeffesO,Other,Other,Other,14,0,0.006152,0.00611,14,,3
GeraldesD,GeraldesD,Other,Other,Other,14,0,0.006152,0.00611,14,,3
LeclercB,LeclercB,Other,Other,Other,14,0,0.006152,0.00611,14,,3
LenrumeP,LenrumeP,Other,Other,Other,14,0,0.006152,0.00611,14,,3
MartinezL,MartinezL,Other,Other,Other,14,0,0.006152,0.00611,14,,3
MarzelièreM,MarzelièreM,Other,Other,Other,14,0,0.006152,0.00611,14,,3
MontgolfierB,MontgolfierB,Other,Other,Other,21,0.008373,0.006179,0.037361,14,,3
PusineriC,PusineriC,Female,NGO,French Guia,14,0,0.006152,0.00611,14,,1
RinaldiR,RinaldiR,Other,Other,Other,14,0,0.006152,0.00611,14,,3
RufrayV,RufrayV,Other,Other,Other,14,0,0.006152,0.00611,14,,3
SafiM,SafiM,Other,Other,Other,21,0.008373,0.006179,0.037361,14,,3
SuardiA,SuardiA,Other,Other,Other,14,0,0.006152,0.00611,14,,3
WyssV,WyssV,Other,Other,Other,14,0,0.006152,0.00611,14,,3
BarragánBarreraDC,BarragánBarreraDC,Other,Other,Other,8,0,0.006178,0.033681,8,,3
BouveretL,BouveretL,Other,Other,Other,8,0,0.006178,0.033681,8,,3
CourtinB,CourtinB,Male,NGO,Guadeloupe,8,0,0.006178,0.033681,8,,2
DuporgeN,DuporgeN,Other,Other,Other,8,0,0.006178,0.033681,8,,3
FeunteunA,FeunteunA,Other,Other,Other,8,0,0.006178,0.033681,8,,3
MillonC,MillonC,Other,Other,Other,8,0,0.006178,0.033681,8,,3
KolesnikovasCKM,KolesnikovasCKM,Other,Other,Other,6,0,0.006173,0.033304,6,,3
MoreiraLMP,MoreiraLMP,Other,Other,Other,6,0,0.006173,0.033304,6,,3
OliveiraA,OliveiraA,Female,University,Brazil,6,0,0.006173,0.033304,6,,1
PontaltiM,PontaltiM,Other,Other,Other,6,0,0.006173,0.033304,6,,3
SerafiniPP,SerafiniPP,Other,Other,Other,6,0,0.006173,0.033304,6,,3
BarrosN,BarrosN,Other,Other,Other,4,0,0.006155,0.001239,4,,3
EstesS,EstesS,Other,Other,Other,4,0,0.006155,0.001239,4,,3
FertlD,FertlD,Female,Other,USA,10,0.079596,0.006184,0.033131,4,3,1
RichlenM,RichlenM,Other,Other,Other,4,0,0.006155,0.001239,4,,3
RowlettR,RowlettR,Other,Other,Other,4,0,0.006155,0.001239,4,,3
BassoiM,BassoiM,Female,University,Brazil,15,0.000236,0.006186,0.159125,14,,1
BastidaR,BastidaR,Other,Other,Other,43,0.020256,0.006195,0.40237,14,8,3
CaonG,CaonG,Other,Other,Other,17,0.001395,0.006189,0.200692,14,,3
DanilewiczD,DanilewiczD,Male,NGO,Brazil,27,0.00261,0.006191,0.309882,14,8,2
MuelbertM,MuelbertM,Female,University,Brazil,17,0.001077,0.006187,0.186422,14,4,1
RochaA,RochaA,Other,Other,Other,14,0,0.006186,0.158287,14,,3
RuoppoloV,RuoppoloV,Other,Other,Other,14,0,0.006186,0.158287,14,,3
ShepherdJG,ShepherdJG,Other,Other,Other,2,0,0.006172,0.025747,2,,3
BerninsoneLG,BerninsoneLG,Other,Other,Other,12,0,0.006183,0.089424,12,,3
BrägerS,BrägerS,Other,Other,Other,12,0,0.006183,0.089424,12,,3
FaillaM,FaillaM,Male,NGO,Argentina,13,0.000329,0.006184,0.089919,12,,2
GerpeM,GerpeM,Female,University,Argentina,4,0,0.006167,0.02076,4,,1
HarrisG,HarrisG,Other,Other,Other,12,0,0.006183,0.089424,12,,3
HerediaS,HerediaS,Other,Other,Other,4,0,0.006169,0.026354,4,,3
KinasP,KinasP,Male,University,Brazil,17,0.006718,0.006187,0.222484,12,5,2
LoureiroJ,LoureiroJ,Other,Other,Other,11,0.002243,0.006188,0.137628,8,3,3
MorenoJ,MorenoJ,Other,Other,Other,4,0,0.006167,0.02076,4,,3
MorenoV,MorenoV,Other,Other,Other,4,0,0.006167,0.02076,4,,3
MorónS,MorónS,Other,Other,Other,8,0.000663,0.006177,0.07032,7,,3
OlssonP,OlssonP,Other,Other,Other,2,0,0.006167,0.019364,2,,3
PerezJ,PerezJ,Other,Other,Other,12,0,0.006186,0.203243,12,,3
PetracciP,PetracciP,Other,Other,Other,12,0,0.006183,0.089424,12,,3
ReyesL,ReyesL,Other,Other,Other,12,0,0.006183,0.089424,12,,3
RiveroL,RiveroL,Other,Other,Other,2,0,0.006167,0.019364,2,,3
ZanelattoR,ZanelattoR,Other,Other,Other,12,0,0.006186,0.203243,12,,3
CarmoN,CarmoN,Other,Other,Other,11,0,0.006184,0.116754,11,,3
daSilvaV,daSilvaV,Female,Government,Brazil,14,0.006692,0.006184,0.117147,11,3,1
EdwardsH,EdwardsH,Other,Other,Other,11,0,0.006184,0.116754,11,,3
EminLimaN,EminLimaN,Female,Government,Brazil,14,0.006684,0.006184,0.117166,11,,1
FettucciaD,FettucciaD,Other,Other,Other,11,0,0.006184,0.116754,11,,3
MouraJ,MouraJ,Male,Government,Brazil,16,0.001473,0.006186,0.129883,11,4,2
RodriguesE,RodriguesE,Other,Other,Other,11,0,0.006184,0.116754,11,,3
WedekinL,WedekinL,Male,University,Brazil,16,0.003025,0.006186,0.149495,11,4,2
BecerraCardonaMP,BecerraCardonaMP,Female,NGO,Bolivia,2,0,0.006148,0.000764,2,,1
MalleaCárdenasHA,MalleaCárdenasHA,Other,Other,Other,2,0,0.006148,0.000764,2,,3
VanDammePA,VanDammePA,Other,Other,Other,6,0.004464,0.006177,0.021964,4,,3
BélangerA,BélangerA,Female,University,Canada,5,0,0.006154,0.00284,5,,1
BodmerR,BodmerR,Other,Other,Other,5,0,0.006154,0.00284,5,,3
ChotaK,ChotaK,Other,Other,Other,5,0,0.006154,0.00284,5,,3
ShuttJD,ShuttJD,Other,Other,Other,5,0,0.006154,0.00284,5,,3
WrightAJ,WrightAJ,Other,Other,Other,5,0,0.006154,0.00284,5,,3
BelloPinedaJ,BelloPinedaJ,Other,Other,Other,5,0,0.006154,0.002869,5,,3
DelfínAlfonsoCA,DelfínAlfonsoCA,Other,Other,Other,5,0,0.006154,0.002869,5,,3
GuzónZatarainO,GuzónZatarainO,Other,Other,Other,5,0,0.006154,0.002869,5,,3
MorteoE,MorteoE,Other,Other,Other,13,0.011097,0.006183,0.073867,8,,3
PérezEspañaH,PérezEspañaH,Other,Other,Other,5,0,0.006154,0.002869,5,,3
ZepedaBorjaKM,ZepedaBorjaKM,Female,University,Mexico,5,0,0.006154,0.002869,5,,1
KerrI,KerrI,Other,Other,Other,5,0,0.006176,0.024789,5,,3
MejíaFajardoA,MejíaFajardoA,Other,Other,Other,5,0,0.006176,0.024789,5,,3
BennettM,BennettM,Other,Other,Other,2,0,0.006173,0.044044,2,,3
BermúdezVillapolL,BermúdezVillapolL,Male,NGO,Venezuela,13,0.011097,0.006178,0.033579,8,,2
BriceñoY,BriceñoY,Female,NGO,Venezuela,8,0,0.006178,0.033367,8,,1
EstevezM,EstevezM,Other,Other,Other,5,0,0.006149,0.001304,5,,3
GonzálezM,GonzálezM,Other,Other,Other,8,0,0.006178,0.033367,8,,3
HernándezJ,HernándezJ,Other,Other,Other,8,0,0.006178,0.033367,8,,3
NarvaezE,NarvaezE,Other,Other,Other,8,0,0.006178,0.033367,8,,3
PirelaD,PirelaD,Other,Other,Other,8,0,0.006178,0.033367,8,,3
RamírezS,RamírezS,Other,Other,Other,8,0,0.006178,0.033367,8,,3
RangelM,RangelM,Other,Other,Other,5,0,0.006149,0.001304,5,,3
RossoC,RossoC,Other,Other,Other,5,0,0.006149,0.001304,5,,3
SánchezL,SánchezL,Other,Other,Other,8,0,0.006178,0.033367,8,,3
SayeghA,SayeghA,Other,Other,Other,5,0,0.006149,0.001304,5,,3
VeraN,VeraN,Other,Other,Other,5,0,0.006149,0.001304,5,,3
BevilaquaC,BevilaquaC,Other,Other,Other,5,0,0.006174,0.022,5,,3
CampelloM,CampelloM,Other,Other,Other,5,0,0.006174,0.022,5,,3
CarvalhoV,CarvalhoV,Male,University,Brazil,5,0,0.006174,0.022,5,,2
MaiaD,MaiaD,Other,Other,Other,5,0,0.006174,0.022,5,,3
MottaM,MottaM,Female,NGO,Brazil,6,0.000008,0.006174,0.022688,5,,1
BisiTL,BisiTL,Other,Other,Other,6,0,0.006181,0.083228,6,,3
BlancoM,BlancoM,Other,Other,Other,4,0,0.006157,0.001239,4,,3
JeffersonT,JeffersonT,Male,Government,USA,7,0.063402,0.006159,0.001243,4,,2
ReesD,ReesD,Other,Other,Other,4,0,0.006157,0.001239,4,,3
WhittAD,WhittAD,Female,Other,USA,4,0,0.006157,0.001239,4,,1
CozannetN,CozannetN,Other,Other,Other,7,0,0.006179,0.034157,7,,3
KelleL,KelleL,Other,Other,Other,7,0,0.006179,0.034157,7,,3
PineauK,PineauK,Other,Other,Other,13,0.004274,0.006179,0.035023,8,,3
